,Description of intake location changes,Description of noncompliance with terms and conditions,Description of place of use changes,Description of type of use changes,I am complying with all terms and conditions,I have reviewed my water right permit,Intake location has been changed,Place of use has changed,Type of use has changed,ApplID,Report_ID
9312,,,,,Yes,,,,,A029581,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=156926
9313,,,,,Yes,,,,,A029581,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=207520
9314,,,,,Yes,,,,,A029581,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=232848
9315,,,,,Yes,,,,,A029581,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=236140
9316,,,,,Yes,,,,,A029581,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=293583
9317,,,,,Yes,,,,,A029581,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=37254
9318,,,,,Yes,,,,,A029581,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=49789
9319,,,,,Yes,,,,,A029581,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=85799
9320,,must file change of petition according to water board,,,No,Yes,,,,A029587,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=36471
9321,,,,,Yes,Yes,,,,A029587,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=50528
9322,,,,,Yes,,,,,A029587,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=85800
9323,,,,,Yes,,,,,A029591,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=113184
9324,,,,,Yes,,,,,A029591,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=156219
9325,,,,,Yes,,,,,A029591,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=208424
9326,,,,,Yes,,,,,A029591,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=236142
9327,,,,,Yes,,,,,A029591,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=292883
9328,,,,,Yes,,,,,A029591,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=340479
9329,,,,,Yes,Yes,,,,A029591,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=36809
9330,,,,,Yes,Yes,,,,A029591,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=49769
9331,,,,,Yes,,,,,A029591,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=85977
9332,,,,,Yes,,,,,A029592,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=113011
9333,,,,,Yes,,,,,A029592,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=157127
9334,,,,,Yes,,,,,A029592,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=207701
9335,,,,,Yes,,,,,A029592,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=236143
9336,,,,,Yes,,,,,A029592,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=293784
9337,,,,,Yes,,,,,A029592,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=340107
9338,,,,,Yes,Yes,,,,A029592,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=36810
9339,,,,,Yes,Yes,,,,A029592,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=50469
9340,,,,,Yes,,,,,A029592,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=85801
9341,,See statement in REMARKS box in Part 8 of this report.,,,No,,,,,A029594,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=112272
9342,,,,,Yes,,,,,A029594,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=156220
9343,,,,,Yes,,,,,A029594,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=208605
9344,,,,,Yes,,,,,A029594,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=236144
9345,,,,,Yes,,,,,A029594,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=292884
9346,,,,,Yes,,,,,A029594,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=337063
9347,,,,,Yes,,,,,A029594,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=339970
9348,,,,,Yes,Yes,,,,A029594,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=36875
9349,,,,,Yes,Yes,,,,A029594,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=49285
9350,,,,,Yes,,,,,A029594,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=85059
9351,,,,,Yes,,,,,A029602,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=112844
9352,,,,,Yes,,,,,A029602,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=157497
9353,,,,,Yes,,,,,A029602,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=207521
9354,,,,,Yes,,,,,A029602,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=236145
9355,,,,,Yes,,,,,A029602,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=340295
9356,,,,,Yes,Yes,,,,A029602,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=37055
9357,,,,,Yes,Yes,,,,A029602,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=49498
9358,,,,,Yes,,,,,A029602,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=85634
9359,,,,,Yes,,,,,A029603,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=110301
9360,,,,,Yes,,,,,A029603,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=113185
9361,,,,,Yes,,,,,A029603,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=156927
9362,,,,,Yes,,,,,A029603,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=207702
9363,,,,,Yes,,,,,A029603,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=236146
9364,,,,,Yes,,,,,A029603,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=293584
9365,,,,,Yes,,,,,A029603,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=339922
9366,,,,,Yes,Yes,,,,A029603,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=37781
9367,,,,,Yes,Yes,,,,A029603,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=50414
9368,,,,,Yes,,,,,A029603,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=85978
9369,,"Term #4: Some water diverted under this Permit may in some years have been used to serve additional lands that are sought to be added to the Place of Use pursuant to a Petition for Change filed June 6,1997 to increase the Place of Use to 325 acres. On August 31, 1999, the Permittee amended the 1997 Petition to change the Place of use to 235 acres (which is still pending).",,,No,,,,,A029607,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=112273
9370,,"Term #4: Some water diverted under this Permit may in some years have been used to serve additional lands that are sought to be added to the Place of Use pursuant to a Petition for Change filed June 6,1997 to increase the Place of Use to 325 acres. On August 31, 1999, the Permittee amended the 1997 Petition to change the Place of use to 235 acres (which is still pending).",,,No,,,,,A029607,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=156552
9371,,"Term #4: Some water used under this Permit may in some years have been used to serve additional lands that are sought to be added to the Place of Use pursuant to a Petition for Change filed June 6,1997 to increase the Place of Use to 325 acres. On August 31, 1999, the Permittee amended the 1997 Petition to change the Place of use to 235 acres (which is still pending).",,,No,,,,,A029607,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=208425
9372,,"Term #4: Some water used under this Permit may in some years have been used to serve additional lands that are sought to be added to the Place of Use pursuant to a Petition for Change filed June 6,1997 to increase the Place of Use to 325 acres. On August 31, 1999, the Permittee amended the 1997 Petition to change the Place of use to 235 acres (which is still pending).",,,No,,,,,A029607,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=236147
9373,,"Term #4: Some water used under this Permit may in some years have been used to serve additional lands that are sought to be added to the Place of Use pursuant to a Petition for Change filed June 6,1997 to increase the Place of Use to 325 acres. On August 31, 1999, the Permittee amended the 1997 Petition to change the Place of use to 235 acres (which is still pending).",,,No,,,,,A029607,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=293212
9374,,"Term #4: Some water used under this Permit may in some years have been used to serve additional lands that are sought to be added to the Place of Use pursuant to a Petition for Change filed June 6,1997 to increase the Place of Use to 325 acres. On August 31, 1999, the Permittee amended the 1997 Petition to change the Place of use to 235 acres (which is still pending).",,,No,,,,,A029607,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=339744
9375,,,,,Yes,Yes,,,,A029607,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=37496
9376,,,,,Yes,,,,,A029607,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=381997
9377,,,,,Yes,,,,,A029607,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=382253
9378,,,,,Yes,Yes,,,,A029607,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=49720
9379,,,,,Yes,,,,,A029607,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=85060
9380,,,,,Yes,,,,,A029614,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=112467
9381,,,,,Yes,,,,,A029614,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=156745
9382,,,,,Yes,,,,,A029614,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=207522
9383,,,,,Yes,,,,,A029614,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=236148
9384,,,,,Yes,,,,,A029614,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=293405
9385,,,,,Yes,,,,,A029614,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=340662
9386,,,,,Yes,,,,,A029614,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=37566
9387,,,,,Yes,Yes,,,,A029614,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=49253
9388,,,,,Yes,,,,,A029614,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=85254
9389,,,,,Yes,,,,,A029615,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=112845
9390,,,,,Yes,,,,,A029615,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=156746
9391,,,,,Yes,,,,,A029615,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=208426
9392,,,,,Yes,,,,,A029615,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=236149
9393,,,,,Yes,,,,,A029615,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=288007
9394,,,,,Yes,,,,,A029615,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=288008
9395,,,,,Yes,,,,,A029615,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=288022
9396,,,,,Yes,,,,,A029615,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=288036
9397,,,,,Yes,,,,,A029615,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=293406
9398,,,,,Yes,,,,,A029615,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=340297
9399,,,,,Yes,,,,,A029615,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=36481
9400,,,,,Yes,,,,,A029615,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=382006
9401,,,,,Yes,,,,,A029615,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=382007
9402,,,,,Yes,,,,,A029615,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=50611
9403,,,,,Yes,,,,,A029615,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=85635
9404,,,,,Yes,,,,,A029616,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=112092
9405,,,,,Yes,,,,,A029616,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=156553
9406,,,,,Yes,,,,,A029616,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=208242
9407,,,,,Yes,,,,,A029616,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=236150
9408,,,,,Yes,,,,,A029616,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=293213
9409,,,,,Yes,,,,,A029616,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=334559
9410,,,,,Yes,,,,,A029616,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=340663
9411,,,,,Yes,Yes,,,,A029616,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=37416
9412,,,,,Yes,Yes,,,,A029616,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=50329
9413,,,,,Yes,,,,,A029616,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=84877
9414,,,,,Yes,,,,,A029619,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=236151
9415,,,,,Yes,Yes,,,,A029619,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=36639
9416,,,,,Yes,Yes,,,,A029619,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=49408
9417,,,,,Yes,,,,,A029620,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=112468
9418,,,,,Yes,,,,,A029620,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=156554
9419,,,,,Yes,,,,,A029620,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=181041
9420,,,,,Yes,,,,,A029620,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=208606
9421,,,,,Yes,,,,,A029620,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=236152
9422,,,,,Yes,,,,,A029620,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=340298
9423,,,,,,,,,,A029620,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=37049
9424,,,,,Yes,Yes,,,,A029620,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=50386
9425,,,,,Yes,,,,,A029620,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=85255
9426,,,,,Yes,,,,,A029624,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=236153
9427,,,,,Yes,,,,,A029624,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=293785
9428,,,,,Yes,,,,,A029624,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=341028
9429,,,,,Yes,,,,,A029627,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=112095
9430,,,,,Yes,,,,,A029627,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=156928
9431,,,,,Yes,,,,,A029627,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=208607
9432,,,,,Yes,,,,,A029627,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=236154
9433,,,,,Yes,,,,,A029627,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=293585
9434,,,,,Yes,,,,,A029627,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=339937
9435,,,,,,,,,,A029627,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=36654
9436,,,,,Yes,Yes,,,,A029627,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=50048
9437,,,,,Yes,,,,,A029627,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=84880
9438,,,,,Yes,,,,,A029628,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=112469
9439,,,,,Yes,,,,,A029628,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=157498
9440,,,,,Yes,,,,,A029628,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=207892
9441,,,,,Yes,,,,,A029628,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=236155
9442,,,,,Yes,,,,,A029628,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=294157
9443,,,,,Yes,,,,,A029628,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=340299
9444,,,,,Yes,Yes,,,,A029628,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=37858
9445,,,,,Yes,Yes,,,,A029628,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=49452
9446,,,,,Yes,,,,,A029628,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=85256
9447,,,,,Yes,,,,,A029631,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=156555
9448,,,,,Yes,,,,,A029631,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=207340
9449,,,,,Yes,Yes,,,,A029631,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=36457
9450,,,,,Yes,Yes,,,,A029631,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=50496
9451,,,,,Yes,,,,,A029632,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=110223
9452,,,,,Yes,,,,,A029632,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=112846
9453,,,,,Yes,,,,,A029632,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=150089
9454,,,,,Yes,,,,,A029632,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=156386
9455,,,,,Yes,,,,,A029632,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=208243
9456,,,,,Yes,,,,,A029632,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=233559
9457,,,,,Yes,,,,,A029632,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=233560
9458,,,,,Yes,,,,,A029632,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=236157
9459,,,,,Yes,,,,,A029632,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=293047
9460,,,,,Yes,,,,,A029632,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=340300
9461,,,,,Yes,Yes,,,,A029632,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=36465
9462,,,,,Yes,,,,,A029632,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=382133
9463,,,,,Yes,Yes,,,,A029632,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=49998
9464,,,,,Yes,,,,,A029632,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=85636
9465,,,,,Yes,,,,,A029637,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=112847
9466,,,,,Yes,,,,,A029637,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=156556
9467,,,,,Yes,,,,,A029637,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=208608
9468,,,,,Yes,,,,,A029637,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=236158
9469,,,,,Yes,,,,,A029637,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=293215
9470,,,,,Yes,,,,,A029637,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=340112
9471,,,,,Yes,Yes,,,,A029637,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=36966
9472,,,,,Yes,,,,,A029637,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=48794
9473,,,,,Yes,Yes,,,,A029637,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=50455
9474,,,,,Yes,,,,,A029637,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=85637
9475,,,,,Yes,,,,,A029640,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=156748
9476,,,,,Yes,,,,,A029640,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=207341
9477,,,,,Yes,,,,,A029640,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=236159
9478,,,,,Yes,,,,,A029640,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=291632
9479,,,,,Yes,,,,,A029640,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=293408
9480,,,,,Yes,,,,,A029640,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=335399
9481,,,,,Yes,,,,,A029640,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=340483
9482,,,,,Yes,Yes,,,,A029640,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=36374
9483,,I'm not sure,,,No,No,,,,A029640,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=50296
9484,,,,,Yes,,,,,A029641,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=113012
9485,,,,,Yes,,,,,A029641,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=157499
9486,,,,,Yes,,,,,A029641,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=207523
9487,,,,,Yes,,,,,A029641,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=236160
9488,,,,,Yes,,,,,A029641,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=294158
9489,,,,,Yes,,,,,A029641,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=339928
9490,,,,,Yes,Yes,,,,A029641,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=36518
9491,,,,,Yes,Yes,,,,A029641,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=49331
9492,,,,,Yes,,,,,A029641,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=85802
9493,,,,,Yes,,,,,A029645,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=113186
9494,,,,,Yes,,,,,A029645,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=149268
9495,,,,,Yes,,,,,A029645,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=156557
9496,,,,,Yes,,,,,A029645,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=208062
9497,,,,,Yes,,,,,A029645,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=236161
9498,,,,,Yes,,,,,A029645,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=293216
9499,,,,,Yes,,,,,A029645,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=340665
9500,,,,,,,,,,A029645,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=36755
9501,,,,,Yes,Yes,,,,A029645,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=49697
9502,,,,,Yes,,,,,A029645,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=85979
